store,city,brand,size,onhand,price,startdate
1,32,1034,750.0,0,4.99,2024-01-01
1,32,1035,0.0,4,12.99,2024-01-01
1,32,1036,0.0,5,39.99,2024-01-01
1,32,1037,750.0,1,19.99,2024-01-01
1,32,1038,750.0,0,21.99,2024-01-01
1,32,1039,750.0,21,14.99,2024-01-01
1,32,1051,750.0,3,99.99,2024-01-01
1,32,1059,750.0,0,5.99,2024-01-01
1,32,1060,1000.0,38,27.99,2024-01-01
1,32,1061,750.0,3,6.99,2024-01-01
1,32,1064,750.0,55,26.99,2024-01-01
1,32,1065,0.0,5,12.99,2024-01-01
1,32,1066,750.0,0,19.99,2024-01-01
1,32,1094,750.0,3,41.99,2024-01-01
1,32,1106,750.0,8,229.99,2024-01-01
1,32,1112,750.0,23,46.99,2024-01-01
1,32,1133,0.0,0,31.99,2024-01-01
1,32,1135,750.0,7,20.99,2024-01-01
1,32,1148,750.0,0,6.99,2024-01-01
1,32,1168,750.0,6,19.99,2024-01-01
1,32,1174,0.0,12,19.99,2024-01-01
1,32,1178,750.0,9,11.49,2024-01-01
1,32,1180,0.0,16,20.99,2024-01-01
1,32,1181,750.0,0,18.99,2024-01-01
1,32,1186,750.0,5,27.99,2024-01-01
1,32,1212,750.0,48,19.99,2024-01-01
1,32,1214,750.0,5,9.99,2024-01-01
1,32,1220,750.0,0,29.99,2024-01-01
1,32,1226,750.0,5,25.99,2024-01-01
1,32,1228,750.0,8,94.99,2024-01-01
1,32,1231,375.0,10,12.99,2024-01-01
1,32,1232,750.0,32,26.99,2024-01-01
1,32,1233,0.0,98,35.99,2024-01-01
1,32,1237,750.0,14,44.99,2024-01-01
1,32,1238,50.0,52,4.99,2024-01-01
1,32,1239,750.0,16,50.99,2024-01-01
1,32,1244,750.0,0,15.99,2024-01-01
1,32,1258,750.0,19,22.99,2024-01-01
1,32,1259,0.0,1,27.99,2024-01-01
1,32,1269,750.0,9,25.99,2024-01-01
1,32,1271,750.0,4,49.99,2024-01-01
1,32,1273,0.0,10,31.99,2024-01-01
1,32,1274,750.0,0,44.99,2024-01-01
1,32,1278,0.0,34,35.99,2024-01-01
1,32,1281,0.0,7,14.99,2024-01-01
1,32,1282,750.0,0,25.99,2024-01-01
1,32,1295,100.0,13,3.99,2024-01-01
1,32,1296,750.0,3,26.99,2024-01-01
1,32,1309,750.0,0,59.99,2024-01-01
1,32,1323,0.0,10,17.99,2024-01-01
1,32,1330,0.0,2,48.99,2024-01-01
1,32,1336,750.0,44,26.99,2024-01-01
1,32,1340,750.0,15,21.99,2024-01-01
1,32,1343,1000.0,4,165.99,2024-01-01
1,32,1345,750.0,6,37.99,2024-01-01
1,32,1346,750.0,14,29.99,2024-01-01
1,32,1347,750.0,23,39.99,2024-01-01
1,32,1348,375.0,0,15.99,2024-01-01
1,32,1355,50.0,51,3.49,2024-01-01
1,32,1358,0.0,5,61.99,2024-01-01
1,32,1359,750.0,5,27.99,2024-01-01
1,32,1361,750.0,3,189.99,2024-01-01
1,32,1364,750.0,1,9.99,2024-01-01
1,32,1365,0.0,49,7.99,2024-01-01
1,32,1366,50.0,135,1.29,2024-01-01
1,32,1373,750.0,27,13.99,2024-01-01
1,32,1375,750.0,38,16.49,2024-01-01
1,32,1376,0.0,85,21.99,2024-01-01
1,32,1378,375.0,0,9.49,2024-01-01
1,32,1379,750.0,12,16.49,2024-01-01
1,32,1380,0.0,24,46.99,2024-01-01
1,32,1382,750.0,4,39.99,2024-01-01
1,32,1384,750.0,46,27.99,2024-01-01
1,32,1385,750.0,26,26.99,2024-01-01
1,32,1386,750.0,8,19.99,2024-01-01
1,32,1388,0.0,36,24.99,2024-01-01
1,32,1389,50.0,0,2.99,2024-01-01
1,32,1392,750.0,11,13.99,2024-01-01
1,32,1394,375.0,12,16.49,2024-01-01
1,32,1395,750.0,21,7.99,2024-01-01
1,32,1396,0.0,15,15.99,2024-01-01
1,32,1397,750.0,25,13.99,2024-01-01
1,32,1398,750.0,0,53.99,2024-01-01
1,32,1415,750.0,0,12.99,2024-01-01
1,32,1424,375.0,0,12.99,2024-01-01
1,32,1425,750.0,14,27.99,2024-01-01
1,32,1464,750.0,15,24.99,2024-01-01
1,32,1465,375.0,0,17.99,2024-01-01
1,32,1468,750.0,24,41.99,2024-01-01
1,32,1476,0.0,0,21.99,2024-01-01
1,32,1479,0.0,15,13.99,2024-01-01
1,32,1483,0.0,0,2.99,2024-01-01
1,32,1515,750.0,7,13.99,2024-01-01
1,32,1520,0.0,5,3.99,2024-01-01
1,32,1535,50.0,60,3.99,2024-01-01
1,32,1542,750.0,6,29.99,2024-01-01
1,32,1545,750.0,48,26.99,2024-01-01
1,32,1550,100.0,3,3.99,2024-01-01
1,32,1556,750.0,1,18.99,2024-01-01
1,32,1595,375.0,0,15.99,2024-01-01
1,32,1623,375.0,2,12.99,2024-01-01
1,32,1634,0.0,15,27.99,2024-01-01
1,32,1637,0.0,8,10.99,2024-01-01
1,32,1639,750.0,19,19.99,2024-01-01
1,32,1657,750.0,10,69.99,2024-01-01
1,32,1672,750.0,9,19.99,2024-01-01
1,32,1692,750.0,11,18.49,2024-01-01
1,32,1715,750.0,9,18.99,2024-01-01
1,32,1725,750.0,7,18.99,2024-01-01
1,32,1727,750.0,9,21.99,2024-01-01
1,32,1728,750.0,7,54.99,2024-01-01
1,32,1734,0.0,4,23.49,2024-01-01
1,32,1737,0.0,5,48.99,2024-01-01
1,32,1738,750.0,1,18.99,2024-01-01
1,32,1740,750.0,4,57.99,2024-01-01
1,32,1744,750.0,4,21.99,2024-01-01
1,32,1746,750.0,8,26.99,2024-01-01
1,32,1748,750.0,16,13.99,2024-01-01
1,32,1758,750.0,8,39.99,2024-01-01
1,32,1760,0.0,10,25.99,2024-01-01
1,32,1767,750.0,4,24.99,2024-01-01
1,32,1770,0.0,17,36.99,2024-01-01
1,32,1771,50.0,0,2.99,2024-01-01
1,32,1781,750.0,29,49.99,2024-01-01
1,32,1789,750.0,56,25.99,2024-01-01
1,32,1798,750.0,6,69.99,2024-01-01
1,32,1817,750.0,4,22.99,2024-01-01
1,32,1835,750.0,9,31.99,2024-01-01
1,32,1836,750.0,4,29.99,2024-01-01
1,32,1845,0.0,7,14.99,2024-01-01
1,32,1848,750.0,3,62.99,2024-01-01
1,32,1860,750.0,7,64.99,2024-01-01
1,32,1862,750.0,15,25.99,2024-01-01
1,32,1867,50.0,36,2.99,2024-01-01
1,32,1868,750.0,6,69.99,2024-01-01
1,32,1869,750.0,6,57.99,2024-01-01
1,32,1870,750.0,3,79.99,2024-01-01
1,32,1874,750.0,3,109.99,2024-01-01
1,32,1875,750.0,14,28.99,2024-01-01
1,32,1876,750.0,0,149.99,2024-01-01
1,32,1878,750.0,3,16.49,2024-01-01
1,32,1880,750.0,22,69.99,2024-01-01
1,32,1883,0.0,32,17.99,2024-01-01
1,32,1886,750.0,0,10.99,2024-01-01
1,32,1892,50.0,92,0.99,2024-01-01
1,32,1893,750.0,3,59.99,2024-01-01
1,32,1896,750.0,20,99.99,2024-01-01
1,32,1920,750.0,0,29.99,2024-01-01
1,32,1921,0.0,6,67.99,2024-01-01
1,32,1927,750.0,0,69.99,2024-01-01
1,32,1955,375.0,5,12.99,2024-01-01
1,32,1956,750.0,1,56.99,2024-01-01
1,32,1961,0.0,3,32.99,2024-01-01
1,32,1962,750.0,0,13.99,2024-01-01
1,32,1964,750.0,8,29.99,2024-01-01
1,32,1982,375.0,0,21.99,2024-01-01
1,32,1987,375.0,11,18.99,2024-01-01
1,32,1997,750.0,10,42.99,2024-01-01
1,32,1999,750.0,9,44.99,2024-01-01
1,32,2008,750.0,6,20.99,2024-01-01
1,32,2015,750.0,66,26.99,2024-01-01
1,32,2016,750.0,5,99.99,2024-01-01
1,32,2017,750.0,0,59.99,2024-01-01
1,32,2026,750.0,39,18.99,2024-01-01
1,32,2029,750.0,8,73.99,2024-01-01
1,32,2030,750.0,16,30.99,2024-01-01
1,32,2034,750.0,4,28.99,2024-01-01
1,32,2035,750.0,6,19.99,2024-01-01
1,32,2036,750.0,0,36.99,2024-01-01
1,32,2041,750.0,2,89.99,2024-01-01
1,32,2043,750.0,1,29.99,2024-01-01
1,32,2045,375.0,6,37.99,2024-01-01
1,32,2047,750.0,3,34.99,2024-01-01
1,32,2050,750.0,6,74.99,2024-01-01
1,32,2054,750.0,2,43.99,2024-01-01
1,32,2062,0.0,2,59.99,2024-01-01
1,32,2082,750.0,8,109.99,2024-01-01
1,32,2083,750.0,11,39.99,2024-01-01
1,32,2085,750.0,11,13.99,2024-01-01
1,32,2086,750.0,0,79.99,2024-01-01
1,32,2087,750.0,8,33.99,2024-01-01
1,32,2089,750.0,8,29.99,2024-01-01
1,32,2098,750.0,10,21.99,2024-01-01
1,32,2100,0.0,11,9.99,2024-01-01
1,32,2103,750.0,4,18.99,2024-01-01
1,32,2104,750.0,5,69.99,2024-01-01
1,32,2105,750.0,51,9.99,2024-01-01
1,32,2112,750.0,6,26.99,2024-01-01
1,32,2114,0.0,85,12.99,2024-01-01
1,32,2116,750.0,5,37.99,2024-01-01
1,32,2117,750.0,22,8.99,2024-01-01
1,32,2120,0.0,39,15.99,2024-01-01
1,32,2121,750.0,17,10.99,2024-01-01
1,32,2122,750.0,22,10.99,2024-01-01
1,32,2123,750.0,9,79.99,2024-01-01
1,32,2125,750.0,0,49.99,2024-01-01
1,32,2127,0.0,85,10.49,2024-01-01
1,32,2130,750.0,5,29.99,2024-01-01
1,32,2131,375.0,147,12.99,2024-01-01
1,32,2132,0.0,13,12.99,2024-01-01
1,32,2136,750.0,10,28.99,2024-01-01
1,32,2142,750.0,9,13.99,2024-01-01
1,32,2143,0.0,28,13.99,2024-01-01
1,32,2145,750.0,10,17.99,2024-01-01
1,32,2148,750.0,19,7.99,2024-01-01
1,32,2149,750.0,35,7.99,2024-01-01
1,32,2152,750.0,16,9.99,2024-01-01
1,32,2153,750.0,12,9.99,2024-01-01
1,32,2155,0.0,8,37.99,2024-01-01
1,32,2156,750.0,5,34.99,2024-01-01
1,32,2158,375.0,4,19.99,2024-01-01
1,32,2159,750.0,5,39.99,2024-01-01
1,32,2161,750.0,30,19.99,2024-01-01
1,32,2162,750.0,3,31.99,2024-01-01
1,32,2163,750.0,9,24.99,2024-01-01
1,32,2164,0.0,32,16.99,2024-01-01
1,32,2170,50.0,52,3.49,2024-01-01
1,32,2171,750.0,6,21.99,2024-01-01
1,32,2182,750.0,0,18.99,2024-01-01
1,32,2183,750.0,1,18.99,2024-01-01
1,32,2184,750.0,6,19.99,2024-01-01
1,32,2186,750.0,8,31.99,2024-01-01
1,32,2189,750.0,8,26.99,2024-01-01
1,32,2193,750.0,13,21.99,2024-01-01
1,32,2199,750.0,4,29.99,2024-01-01
1,32,2200,750.0,12,19.99,2024-01-01
1,32,2202,750.0,9,29.99,2024-01-01
1,32,2207,750.0,5,59.99,2024-01-01
1,32,2209,750.0,1,29.99,2024-01-01
1,32,2212,0.0,14,10.99,2024-01-01
1,32,2214,750.0,7,36.99,2024-01-01
1,32,2226,0.0,3,36.99,2024-01-01
1,32,2230,750.0,0,49.99,2024-01-01
1,32,2232,750.0,6,39.99,2024-01-01
1,32,2235,750.0,7,26.99,2024-01-01
1,32,2237,750.0,7,56.99,2024-01-01
1,32,2238,750.0,4,24.99,2024-01-01
1,32,2239,750.0,2,20.99,2024-01-01
1,32,2241,750.0,6,25.99,2024-01-01
1,32,2242,750.0,4,30.99,2024-01-01
1,32,2245,750.0,3,35.99,2024-01-01
1,32,2246,750.0,7,18.99,2024-01-01
1,32,2250,0.0,0,12.99,2024-01-01
1,32,2254,750.0,39,12.99,2024-01-01
1,32,2258,375.0,5,12.99,2024-01-01
1,32,2262,750.0,5,35.99,2024-01-01
1,32,2270,750.0,4,74.99,2024-01-01
1,32,2280,750.0,9,36.99,2024-01-01
1,32,2287,750.0,25,39.99,2024-01-01
1,32,2290,750.0,17,23.99,2024-01-01
1,32,2292,750.0,1,41.99,2024-01-01
1,32,2302,750.0,6,29.99,2024-01-01
1,32,2310,750.0,2,28.99,2024-01-01
1,32,2329,750.0,0,49.99,2024-01-01
1,32,2333,750.0,3,49.99,2024-01-01
1,32,2339,750.0,4,21.99,2024-01-01
1,32,2366,750.0,8,34.99,2024-01-01
1,32,2368,750.0,4,139.99,2024-01-01
1,32,2369,750.0,2,64.99,2024-01-01
1,32,2373,750.0,27,13.99,2024-01-01
1,32,2374,0.0,15,39.99,2024-01-01
1,32,2382,750.0,2,27.99,2024-01-01
1,32,2398,750.0,64,22.99,2024-01-01
1,32,2412,750.0,6,19.99,2024-01-01
1,32,2418,750.0,11,21.99,2024-01-01
1,32,2426,750.0,8,51.99,2024-01-01
1,32,2432,750.0,54,21.99,2024-01-01
1,32,2433,750.0,3,131.99,2024-01-01
1,32,2435,750.0,11,40.99,2024-01-01
1,32,2436,375.0,18,14.99,2024-01-01
1,32,2438,0.0,10,72.99,2024-01-01
1,32,2440,750.0,9,16.99,2024-01-01
1,32,2443,0.0,36,20.99,2024-01-01
1,32,2445,750.0,13,11.99,2024-01-01
1,32,2448,750.0,1,15.99,2024-01-01
1,32,2465,50.0,23,2.99,2024-01-01
1,32,2466,0.0,19,46.99,2024-01-01
1,32,2468,750.0,0,27.99,2024-01-01
1,32,2476,750.0,22,21.99,2024-01-01
1,32,2494,0.0,9,46.99,2024-01-01
1,32,2496,0.0,9,52.99,2024-01-01
1,32,2499,750.0,13,27.99,2024-01-01
1,32,2508,50.0,9,1.99,2024-01-01
1,32,2512,375.0,0,34.99,2024-01-01
1,32,2514,750.0,4,14.99,2024-01-01
1,32,2517,750.0,0,71.99,2024-01-01
1,32,2518,750.0,4,49.99,2024-01-01
1,32,2520,750.0,4,56.99,2024-01-01
1,32,2522,750.0,12,52.99,2024-01-01
1,32,2531,750.0,4,65.99,2024-01-01
1,32,2532,0.0,9,134.99,2024-01-01
1,32,2534,750.0,9,49.99,2024-01-01
1,32,2543,750.0,6,23.99,2024-01-01
1,32,2549,375.0,11,40.99,2024-01-01
1,32,2554,750.0,3,109.99,2024-01-01
1,32,2570,750.0,1,79.99,2024-01-01
1,32,2582,750.0,12,14.99,2024-01-01
1,32,2585,750.0,123,22.99,2024-01-01
1,32,2586,50.0,0,2.99,2024-01-01
1,32,2587,375.0,8,18.99,2024-01-01
1,32,2589,0.0,53,39.99,2024-01-01
1,32,2590,0.0,11,39.99,2024-01-01
1,32,2591,750.0,4,39.99,2024-01-01
1,32,2593,750.0,12,29.99,2024-01-01
1,32,2595,750.0,2,16.99,2024-01-01
1,32,2597,750.0,8,21.99,2024-01-01
1,32,2598,750.0,1,14.99,2024-01-01
1,32,2602,750.0,4,56.99,2024-01-01
1,32,2604,0.0,8,99.99,2024-01-01
1,32,2606,750.0,3,99.99,2024-01-01
1,32,2607,750.0,17,21.99,2024-01-01
1,32,2609,750.0,7,24.99,2024-01-01
1,32,2611,750.0,8,51.99,2024-01-01
1,32,2615,50.0,79,3.49,2024-01-01
1,32,2619,0.0,4,64.99,2024-01-01
1,32,2622,750.0,39,24.99,2024-01-01
1,32,2623,0.0,0,28.99,2024-01-01
1,32,2624,750.0,10,64.99,2024-01-01
1,32,2625,750.0,2,59.99,2024-01-01
1,32,2626,50.0,0,1.99,2024-01-01
1,32,2628,750.0,32,29.99,2024-01-01
1,32,2630,750.0,5,37.99,2024-01-01
1,32,2631,750.0,1,71.99,2024-01-01
1,32,2636,750.0,4,68.99,2024-01-01
1,32,2637,750.0,6,53.99,2024-01-01
1,32,2639,750.0,2,65.99,2024-01-01
1,32,2640,750.0,4,40.99,2024-01-01
1,32,2643,750.0,4,184.99,2024-01-01
1,32,2644,750.0,12,74.99,2024-01-01
1,32,2645,750.0,28,29.99,2024-01-01
1,32,2646,0.0,29,54.99,2024-01-01
1,32,2648,375.0,3,15.99,2024-01-01
1,32,2654,1000.0,33,28.99,2024-01-01
1,32,2655,750.0,11,29.99,2024-01-01
1,32,2656,0.0,17,24.99,2024-01-01
1,32,2658,750.0,8,15.99,2024-01-01
1,32,2661,750.0,13,61.99,2024-01-01
1,32,2663,0.0,51,29.99,2024-01-01
1,32,2664,750.0,6,14.99,2024-01-01
1,32,2665,750.0,29,19.99,2024-01-01
1,32,2667,750.0,3,17.99,2024-01-01
1,32,2668,375.0,14,13.99,2024-01-01
1,32,2670,750.0,6,74.99,2024-01-01
1,32,2672,50.0,7,2.29,2024-01-01
1,32,2675,750.0,39,44.99,2024-01-01
1,32,2676,0.0,6,14.99,2024-01-01
1,32,2678,750.0,3,40.99,2024-01-01
1,32,2679,750.0,17,19.99,2024-01-01
1,32,2682,750.0,3,52.99,2024-01-01
1,32,2684,750.0,6,52.99,2024-01-01
1,32,2686,750.0,6,37.99,2024-01-01
1,32,2689,0.0,17,18.99,2024-01-01
1,32,2690,750.0,49,9.99,2024-01-01
1,32,2692,750.0,20,34.99,2024-01-01
1,32,2694,750.0,0,49.99,2024-01-01
1,32,2696,0.0,1,33.99,2024-01-01
1,32,2704,50.0,33,0.99,2024-01-01
1,32,2711,750.0,20,19.99,2024-01-01
1,32,2713,0.0,15,13.99,2024-01-01
1,32,2714,750.0,4,99.99,2024-01-01
1,32,2715,750.0,0,49.99,2024-01-01
1,32,2717,750.0,3,60.99,2024-01-01
1,32,2721,750.0,8,59.99,2024-01-01
1,32,2722,750.0,9,21.99,2024-01-01
1,32,2723,0.0,25,29.99,2024-01-01
1,32,2727,750.0,5,24.99,2024-01-01
1,32,2733,750.0,10,78.99,2024-01-01
1,32,2734,750.0,0,68.99,2024-01-01
1,32,2737,750.0,0,34.99,2024-01-01
1,32,2739,750.0,0,49.99,2024-01-01
1,32,2740,750.0,8,91.99,2024-01-01
1,32,2748,0.0,6,319.99,2024-01-01
1,32,2749,0.0,6,16.99,2024-01-01
1,32,2751,375.0,1,19.99,2024-01-01
1,32,2752,750.0,16,34.99,2024-01-01
1,32,2753,0.0,38,61.99,2024-01-01
1,32,2755,750.0,24,24.99,2024-01-01
1,32,2756,750.0,18,29.99,2024-01-01
1,32,2757,0.0,51,29.99,2024-01-01
1,32,2759,375.0,20,13.99,2024-01-01
1,32,2760,0.0,32,36.99,2024-01-01
1,32,2767,750.0,6,189.99,2024-01-01
1,32,2769,750.0,12,52.99,2024-01-01
1,32,2770,375.0,25,39.99,2024-01-01
1,32,2772,750.0,5,59.99,2024-01-01
1,32,2779,750.0,12,19.99,2024-01-01
1,32,2780,750.0,19,38.99,2024-01-01
1,32,2783,0.0,16,13.99,2024-01-01
1,32,2787,750.0,6,43.99,2024-01-01
1,32,2788,750.0,18,39.99,2024-01-01
1,32,2792,50.0,3,0.99,2024-01-01
1,32,2793,750.0,2,21.99,2024-01-01
1,32,2794,750.0,0,14.99,2024-01-01
1,32,2795,750.0,2,23.99,2024-01-01
1,32,2797,50.0,0,0.99,2024-01-01
1,32,2800,750.0,2,81.99,2024-01-01
1,32,2801,750.0,0,39.99,2024-01-01
1,32,2802,750.0,6,24.99,2024-01-01
1,32,2803,750.0,2,25.99,2024-01-01
1,32,2808,750.0,2,29.99,2024-01-01
1,32,2812,375.0,3,39.99,2024-01-01
1,32,2814,375.0,0,39.99,2024-01-01
1,32,2815,750.0,4,55.99,2024-01-01
1,32,2816,750.0,2,47.99,2024-01-01
1,32,2821,750.0,4,39.99,2024-01-01
1,32,2822,750.0,13,32.99,2024-01-01
1,32,2826,750.0,6,39.99,2024-01-01
1,32,2830,750.0,0,13.99,2024-01-01
1,32,2834,0.0,13,16.49,2024-01-01
1,32,2838,750.0,2,45.99,2024-01-01
1,32,2839,750.0,2,36.99,2024-01-01
1,32,2841,750.0,8,34.99,2024-01-01
1,32,2851,750.0,5,8.99,2024-01-01
1,32,2852,750.0,5,40.99,2024-01-01
1,32,2854,750.0,15,54.99,2024-01-01
1,32,2855,750.0,22,29.99,2024-01-01
1,32,2856,750.0,3,55.99,2024-01-01
1,32,2859,750.0,0,19.99,2024-01-01
1,32,2862,750.0,8,35.99,2024-01-01
1,32,2868,750.0,4,89.99,2024-01-01
1,32,2874,750.0,30,69.99,2024-01-01
1,32,2878,375.0,11,39.99,2024-01-01
1,32,2879,750.0,8,29.99,2024-01-01
1,32,2882,750.0,2,124.99,2024-01-01
1,32,2889,750.0,6,32.99,2024-01-01
1,32,2890,750.0,5,27.99,2024-01-01
1,32,2893,750.0,0,49.99,2024-01-01
1,32,2894,0.0,9,17.99,2024-01-01
1,32,2897,750.0,3,59.99,2024-01-01
1,32,2898,750.0,8,7.99,2024-01-01
1,32,2899,750.0,4,52.99,2024-01-01
1,32,2902,750.0,11,46.99,2024-01-01
1,32,2906,750.0,8,99.99,2024-01-01
1,32,2909,750.0,3,59.99,2024-01-01
1,32,2912,750.0,4,16.99,2024-01-01
1,32,2917,750.0,9,19.99,2024-01-01
1,32,2920,750.0,5,64.99,2024-01-01
1,32,2924,750.0,7,23.99,2024-01-01
1,32,2926,0.0,11,27.99,2024-01-01
1,32,2932,750.0,18,31.99,2024-01-01
1,32,2935,750.0,5,99.99,2024-01-01
1,32,2942,750.0,2,35.99,2024-01-01
1,32,2944,750.0,13,44.99,2024-01-01
1,32,2946,750.0,11,79.99,2024-01-01
1,32,2949,750.0,5,94.99,2024-01-01
1,32,2951,0.0,7,37.99,2024-01-01
1,32,2952,750.0,16,20.99,2024-01-01
1,32,2954,750.0,0,46.99,2024-01-01
1,32,2956,0.0,11,14.99,2024-01-01
1,32,2957,750.0,8,35.99,2024-01-01
1,32,2958,750.0,8,57.99,2024-01-01
