brand,price,size,volume,classification,purchaseprice,vendornumber
1258,22.99,750.0,750,1,17.03,12546
1269,25.99,750.0,750,1,19.11,1485
1271,49.99,750.0,750,1,37.59,1485
1273,31.99,1750.0,1750,1,23.19,12546
1274,44.99,750.0,750,1,34.88,9165
1278,35.99,1750.0,1750,1,26.71,12546
1281,14.99,1750.0,1750,1,11.19,8004
1282,29.99,750.0,750,1,18.7,660
1295,3.99,100.0,100,1,2.89,1128
1296,26.99,750.0,750,1,20.6,4425
1304,10.99,750.0,750,1,8.33,3960
1309,59.99,750.0,750,1,44.44,12546
1323,16.99,1750.0,1750,1,13.59,1128
1328,19.99,750.0,750,1,12.49,6359
1340,21.99,750.0,750,1,14.05,12546
1343,165.99,1000.0,1000,1,122.96,1128
1345,37.99,750.0,750,1,28.45,12546
1346,29.99,750.0,750,1,22.55,12546
1347,39.99,750.0,750,1,31.24,12546
1348,17.99,375.0,375,1,11.84,12546
1352,61.99,750.0,750,1,41.0,9165
1355,3.49,50.0,50,1,2.59,12546
1358,64.99,1750.0,1750,1,42.85,12546
1359,32.99,750.0,750,1,21.87,12546
1361,189.99,750.0,750,1,138.68,9165
1364,9.99,750.0,750,1,7.46,6213
1365,7.99,0.0,50,1,6.05,8664
1366,1.29,50.0,50,1,0.93,12546
1373,16.99,750.0,750,1,10.36,12546
1375,14.49,750.0,750,1,11.5,12546
1376,21.99,1750.0,1750,1,16.29,12546
1378,9.49,375.0,375,1,7.08,12546
1379,14.49,750.0,750,1,11.41,12546
1380,49.99,1750.0,1750,1,34.05,3960
1382,39.99,750.0,750,1,28.56,12546
1384,25.99,750.0,750,1,18.93,3960
1385,26.99,750.0,750,1,20.45,12546
1386,21.99,750.0,750,1,14.59,3960
1388,28.99,1750.0,1750,1,19.22,12546
1389,2.99,50.0,50,1,2.18,12546
1392,16.99,750.0,750,1,10.6,12546
1393,4.99,200.0,200,1,3.14,12546
1394,16.49,375.0,375,1,12.68,12546
1395,8.99,750.0,750,1,5.88,12546
1396,15.99,1750.0,1750,1,10.44,12546
1397,16.99,750.0,750,1,10.76,12546
1398,56.99,750.0,750,1,40.59,8004
1399,36.99,750.0,750,1,27.81,12546
1404,89.99,750.0,750,1,64.28,1128
1415,14.99,750.0,750,1,10.39,12546
1416,24.99,1750.0,1750,1,19.83,12546
1424,14.99,375.0,375,1,9.69,3960
1425,27.99,750.0,750,1,20.73,28750
1464,25.99,750.0,750,1,19.22,7245
1465,14.99,375.0,375,1,11.02,1128
1468,44.99,750.0,750,1,31.49,12546
1476,21.99,1750.0,1750,1,16.05,12546
1479,11.99,1750.0,1750,1,9.22,660
1535,3.99,50.0,50,1,3.14,1128
1542,29.99,750.0,750,1,22.72,9751
1545,29.99,750.0,750,1,19.42,1128
1595,15.99,375.0,375,1,10.93,1128
1623,14.99,375.0,375,1,10.07,3960
1634,29.99,1750.0,1750,1,20.73,2561
1637,11.49,1750.0,1750,1,8.13,660
1639,22.99,750.0,750,1,15.74,2561
1657,69.99,750.0,750,1,51.46,3960
1692,19.99,750.0,750,1,13.4,8352
1715,19.99,750.0,750,1,13.76,6359
1725,19.99,750.0,750,1,14.17,6359
1728,54.99,750.0,750,1,41.35,17035
1734,21.99,1750.0,1750,1,17.45,2496
1737,51.99,1750.0,1750,1,34.3,12546
1738,19.99,750.0,750,1,14.72,6359
1740,59.99,750.0,750,1,40.71,3960
1744,21.99,750.0,750,1,17.05,1128
1746,26.99,750.0,750,1,19.99,9206
1748,15.99,750.0,750,1,10.29,3664
1758,39.99,750.0,750,1,29.76,17035
1760,25.99,1750.0,1750,1,19.69,3664
1767,24.99,750.0,750,1,19.37,8004
1770,38.99,1750.0,1750,1,26.42,1128
1771,0.99,50.0,50,1,0.75,1128
1781,49.99,750.0,750,1,37.59,11567
1789,22.99,750.0,750,1,17.16,1128
1790,27.99,750.0,750,1,15.5,9165
1817,21.99,750.0,750,1,16.79,6785
1835,26.99,750.0,750,1,19.7,1485
1836,29.99,750.0,750,1,21.73,12546
1845,15.99,1750.0,1750,1,11.27,3252
1848,62.99,750.0,750,1,47.01,3960
1860,59.99,750.0,750,1,46.15,7239
1862,25.99,750.0,750,1,19.22,17035
1867,2.99,50.0,50,1,2.15,1128
1868,66.99,750.0,750,1,49.62,3960
1869,54.99,750.0,750,1,40.14,3960
1870,79.99,750.0,750,1,59.69,3960
1874,109.99,750.0,750,1,84.61,7239
1875,31.99,750.0,750,1,20.71,7245
1876,149.99,750.0,750,1,106.61,17035
1880,63.99,750.0,750,1,46.71,17035
1883,17.99,1750.0,1750,1,13.23,3960
1886,10.99,750.0,750,1,7.96,3960
1892,0.99,50.0,50,1,0.72,3960
1893,54.99,750.0,750,1,43.99,7239
1896,94.99,750.0,750,1,68.83,17035
1920,29.99,750.0,750,1,22.55,8004
1921,67.99,1750.0,1750,1,52.71,3664
1955,12.99,375.0,375,1,9.62,1128
1956,53.99,750.0,750,1,39.99,3664
1961,34.99,1750.0,1750,1,23.91,8352
1964,29.99,750.0,750,1,23.07,12546
1974,37.99,750.0,750,1,29.91,9165
1987,18.99,375.0,375,1,13.66,17031
1997,42.99,750.0,750,1,30.93,4425
2008,21.99,750.0,750,1,16.66,8352
2015,22.99,750.0,750,1,18.1,1128
2016,99.99,750.0,750,1,74.62,8112
2017,63.99,750.0,750,1,44.77,17035
2024,5.99,375.0,375,1,4.44,1392
2026,18.99,750.0,750,1,14.61,3252
2027,29.99,750.0,750,1,16.66,6213
2029,68.99,750.0,750,1,51.1,9165
2030,30.99,750.0,750,1,23.48,7153
2035,19.99,750.0,750,1,14.28,7153
2036,36.99,750.0,750,1,29.13,12546
2041,84.99,750.0,750,1,61.14,17035
2043,29.99,750.0,750,1,23.07,3960
2047,34.99,750.0,750,1,25.36,9744
2050,64.99,750.0,750,1,49.61,9206
2062,59.99,1750.0,1750,1,44.11,1128
2082,109.99,750.0,750,1,74.07,3664
2085,13.99,750.0,750,1,10.6,653
2088,299.99,750.0,750,1,223.87,17035
2089,24.99,750.0,750,1,16.53,7153
2097,15.99,750.0,750,1,12.11,6359
2098,29.99,750.0,750,1,16.29,9165
2100,9.99,1750.0,1750,1,7.24,9552
2101,5.99,375.0,375,1,4.37,3252
2104,69.99,750.0,750,1,50.35,9165
2105,9.99,750.0,750,1,7.87,1392
2108,15.99,750.0,750,1,12.59,6359
2112,26.99,750.0,750,1,15.55,2561
2114,12.99,1750.0,1750,1,9.41,1392
2115,7.99,750.0,750,1,4.88,1392
2116,41.99,750.0,750,1,27.33,9165
2117,8.99,750.0,750,1,5.88,1392
2120,16.99,1750.0,1750,1,12.21,12546
2121,9.99,750.0,750,1,7.8,12546
2122,9.99,750.0,750,1,7.8,12546
2123,79.99,750.0,750,1,57.96,480
2127,10.49,1750.0,1750,1,7.19,660
2129,18.99,750.0,750,1,13.56,6359
2130,29.99,750.0,750,1,22.05,1189
2131,12.99,375.0,375,1,10.15,1128
2132,12.99,1750.0,1750,1,10.23,8352
2134,2.49,375.0,375,1,1.93,660
2136,27.99,750.0,750,1,21.53,3924
2142,13.99,750.0,750,1,10.38,9625
2143,12.99,1750.0,1750,1,10.07,1128
2145,16.99,750.0,750,1,12.68,7153
2148,7.99,750.0,750,1,5.96,1128
2149,6.99,750.0,750,1,5.34,660
2152,9.99,750.0,750,1,7.19,3252
2155,37.99,1750.0,1750,1,24.05,12546
2156,36.99,750.0,750,1,26.92,12546
2158,16.99,375.0,375,1,12.4,3089
2159,39.99,750.0,750,1,30.53,12546
2161,19.99,750.0,750,1,15.26,12546
2162,33.99,750.0,750,1,21.58,2450
2163,24.99,750.0,750,1,14.38,90037
2164,16.99,1750.0,1750,1,12.14,3252
2170,3.49,50.0,50,1,2.53,1128
2171,24.99,750.0,750,1,14.49,17035
2181,0.99,50.0,50,1,0.73,9625
2182,18.99,750.0,750,1,14.17,12546
2183,18.99,750.0,750,1,14.61,12546
2184,19.99,750.0,750,1,11.36,480
2186,26.99,750.0,750,1,19.56,7153
2189,26.99,750.0,750,1,19.83,9165
2193,24.99,750.0,750,1,16.41,8663
2199,29.99,750.0,750,1,23.61,9165
2200,19.99,750.0,750,1,10.78,480
2202,29.99,750.0,750,1,23.07,17031
2212,13.99,1750.0,1750,1,8.72,8004
2214,29.99,750.0,750,1,21.58,9552
2226,36.99,1750.0,1750,1,27.6,12546
2232,39.99,750.0,750,1,31.0,4425
2235,29.99,750.0,750,1,19.56,9165
2237,49.99,750.0,750,1,35.71,9552
2238,26.99,750.0,750,1,18.93,9260
2239,21.99,750.0,750,1,15.78,8352
2241,25.99,750.0,750,1,20.46,98450
2242,30.99,750.0,750,1,16.05,9165
2245,36.99,750.0,750,1,26.66,4425
2246,18.99,750.0,750,1,13.96,8004
2250,12.99,0.0,50,1,9.69,1128
2254,14.99,750.0,750,1,10.31,12546
2258,16.99,375.0,375,1,9.77,480
2262,35.99,750.0,750,1,21.2,4425
2270,79.99,750.0,750,1,54.34,12546
2280,36.99,750.0,750,1,27.4,7239
2287,38.99,750.0,750,1,29.22,3960
2290,23.99,750.0,750,1,18.04,12546
2292,43.99,750.0,750,1,29.99,9165
2302,29.99,750.0,750,1,23.43,9165
2310,28.99,750.0,750,1,23.19,9165
2329,54.99,750.0,750,1,38.45,480
2339,25.99,750.0,750,1,15.82,12546
2366,34.99,750.0,750,1,25.36,9165
2368,139.99,750.0,750,1,108.52,3664
2369,64.99,750.0,750,1,50.38,9165
2373,16.99,750.0,750,1,10.29,12546
2374,39.99,1750.0,1750,1,31.24,3664
2382,29.99,750.0,750,1,19.22,7153
2398,20.99,750.0,750,1,16.4,3664
2401,8.99,200.0,200,1,6.86,8150
2412,21.99,750.0,750,1,15.38,17035
2418,22.99,750.0,750,1,16.53,3960
2426,51.99,750.0,750,1,41.59,17035
2427,29.99,750.0,750,1,15.93,9165
2432,22.99,750.0,750,1,17.59,3960
2433,131.99,750.0,750,1,91.9,3960
2435,40.99,750.0,750,1,29.76,3960
2436,14.99,375.0,375,1,11.99,3960
2438,69.99,1750.0,1750,1,54.26,3960
2443,16.99,1750.0,1750,1,13.48,3960
2445,11.99,750.0,750,1,9.08,3960
2448,15.99,750.0,750,1,11.42,3960
2453,5.99,0.0,50,1,4.31,3960
2465,2.99,50.0,50,1,2.15,3960
2466,46.99,1750.0,1750,1,29.62,3960
2468,29.99,750.0,750,1,22.39,3960
2474,38.99,300.0,300,1,29.1,9165
2476,22.99,750.0,750,1,16.79,3960
2494,39.99,1750.0,1750,1,31.0,3960
2496,49.99,1750.0,1750,1,36.22,3960
2499,29.99,750.0,750,1,21.53,3960
2508,1.99,50.0,50,1,1.59,3960
2512,34.99,375.0,375,1,25.36,2561
2514,14.99,750.0,750,1,11.41,9625
2517,68.99,750.0,750,1,46.42,3664
2518,49.99,750.0,750,1,36.49,1128
2520,62.99,750.0,750,1,42.21,2561
2522,47.99,750.0,750,1,36.92,2561
2531,63.99,750.0,750,1,46.37,10754
2532,134.99,1750.0,1750,1,96.89,2561
2534,44.99,750.0,750,1,35.99,3252
2539,19.99,1750.0,1750,1,12.3,9710
2543,23.99,750.0,750,1,18.89,6785
2549,44.99,375.0,375,1,29.49,10754
2563,49.99,750.0,750,1,34.61,12546
2570,79.99,750.0,750,1,57.14,3960
2582,19.99,750.0,750,1,11.8,8004
2585,22.99,750.0,750,1,16.42,17035
2586,2.99,50.0,50,1,2.21,17035
2587,18.99,375.0,375,1,12.67,17035
2589,39.99,1750.0,1750,1,30.76,17035
2590,46.99,1750.0,1750,1,28.98,2561
2591,43.99,750.0,750,1,29.4,3960
2595,17.99,750.0,750,1,12.3,1485
2597,21.99,750.0,750,1,14.38,17035
2598,16.99,750.0,750,1,11.44,8004
2602,59.99,750.0,750,1,43.84,3960
2604,99.99,0.0,200,1,73.52,3960
2606,115.99,750.0,750,1,79.36,8112
2607,21.99,750.0,750,1,17.18,9552
2609,25.99,750.0,750,1,18.11,9744
2611,54.99,750.0,750,1,39.99,480
2614,59.99,1750.0,1750,1,41.21,480
2615,3.49,50.0,50,1,2.57,17035
2619,64.99,1750.0,1750,1,51.58,8112
2622,26.99,750.0,750,1,18.65,480
2623,28.99,1750.0,1750,1,18.24,17035
2624,64.99,750.0,750,1,46.76,480
2625,59.99,750.0,750,1,43.16,9165
2626,1.99,50.0,50,1,1.42,3960
2628,31.99,750.0,750,1,23.43,480
2630,37.99,750.0,750,1,29.91,8004
2631,73.99,750.0,750,1,55.99,17035
2636,68.99,750.0,750,1,48.83,9165
2637,56.99,750.0,750,1,39.12,9744
2639,70.99,750.0,750,1,52.37,12546
2640,44.99,750.0,750,1,30.07,4425
2643,184.99,750.0,750,1,136.02,480
2644,79.99,750.0,750,1,58.13,17035
2645,31.99,750.0,750,1,21.89,17035
2646,58.99,1750.0,1750,1,43.3,17035
2648,16.49,375.0,375,1,12.21,17035
2650,24.99,1000.0,1000,1,19.68,3960
2656,24.99,1750.0,1750,1,19.52,2561
2658,15.99,750.0,750,1,12.49,2561
2661,65.99,750.0,750,1,47.99,12546
2663,29.99,1750.0,1750,1,21.42,480
2664,16.99,750.0,750,1,10.5,8004
2665,19.99,750.0,750,1,15.38,480
2668,13.99,375.0,375,1,10.68,480
2672,2.29,50.0,50,1,1.8,480
2675,44.99,750.0,750,1,34.88,3960
2676,15.99,1750.0,1750,1,10.93,9552
2678,44.99,750.0,750,1,31.99,4425
2679,22.99,750.0,750,1,14.28,480
2682,52.99,750.0,750,1,42.39,9165
2685,36.99,750.0,750,1,27.12,12546
2686,37.99,750.0,750,1,26.8,8004
2689,18.99,1750.0,1750,1,14.72,1392
2690,11.99,750.0,750,1,7.35,1392
2692,41.99,750.0,750,1,26.31,8112
2694,52.99,750.0,750,1,37.31,8112
2696,37.99,1750.0,1750,1,25.19,12546
2713,14.99,1750.0,1750,1,10.93,660
2714,99.99,750.0,750,1,76.33,3664
2717,58.99,750.0,750,1,43.38,4425
2721,59.99,750.0,750,1,47.61,3960
2722,21.99,750.0,750,1,17.59,3960
2723,29.99,1750.0,1750,1,21.42,3960
2727,29.99,750.0,750,1,19.37,9552
2737,34.99,750.0,750,1,27.77,9165
2739,49.99,750.0,750,1,35.96,7239
2740,89.99,750.0,750,1,65.41,9165
2742,53.99,750.0,750,1,37.98,480
2748,319.99,1750.0,1750,1,240.59,3960
2749,16.99,1750.0,1750,1,13.38,3960
2751,19.99,375.0,375,1,15.99,3960
2752,38.99,750.0,750,1,26.31,3960
2753,59.99,1750.0,1750,1,44.77,3960
2755,24.99,750.0,750,1,19.68,3960
2756,29.99,750.0,750,1,22.89,17035
2757,29.99,1750.0,1750,1,22.38,3960
2759,13.99,375.0,375,1,10.14,3960
2760,38.99,1750.0,1750,1,28.02,1128
2765,79.99,750.0,750,1,60.14,12546
2767,189.99,750.0,750,1,139.7,3960
2769,55.99,750.0,750,1,38.4,12546
2770,39.99,375.0,375,1,31.0,3664
2772,62.99,750.0,750,1,46.15,3960
2776,41.99,750.0,750,1,32.3,4425
2780,40.99,750.0,750,1,28.46,3960
2783,14.99,1750.0,1750,1,10.06,660
2788,44.99,750.0,750,1,31.24,12546
2793,21.99,750.0,750,1,17.18,6213
2794,14.99,750.0,750,1,10.5,9625
2795,25.99,750.0,750,1,18.74,3960
2801,39.99,750.0,750,1,27.68,3664
2802,29.99,750.0,750,1,18.93,7153
2803,25.99,750.0,750,1,20.46,9552
2812,39.99,375.0,375,1,30.3,3664
2814,39.99,375.0,375,1,31.0,3664
2815,55.99,750.0,750,1,40.57,4425
2816,44.99,750.0,750,1,34.61,12546
2821,36.99,750.0,750,1,28.02,12546
2822,32.99,750.0,750,1,23.25,9552
2826,36.99,750.0,750,1,29.59,12546
2834,15.99,1750.0,1750,1,12.3,8320
2838,45.99,750.0,750,1,35.43,9625
2839,39.99,750.0,750,1,27.0,12546
2840,10.99,750.0,750,1,7.36,9206
2851,5.99,750.0,750,1,4.5,7153
2852,40.99,750.0,750,1,30.14,7245
2854,49.99,750.0,750,1,38.45,3960
2856,58.99,750.0,750,1,42.1,3960
2859,17.99,750.0,750,1,12.94,7245
2862,35.99,750.0,750,1,27.68,3960
2868,94.99,750.0,750,1,70.86,3960
2874,69.99,750.0,750,1,51.46,9165
2878,39.99,375.0,375,1,29.84,3664
2879,31.99,750.0,750,1,22.21,4425
2882,139.99,750.0,750,1,89.92,2561
2889,31.99,750.0,750,1,23.07,3960
2890,26.99,750.0,750,1,21.25,9552
2893,54.99,750.0,750,1,39.67,8112
2894,17.99,1750.0,1750,1,12.94,3960
2897,59.99,750.0,750,1,47.24,3960
2898,7.99,750.0,750,1,6.01,3960
2902,49.99,750.0,750,1,37.0,7245
2909,59.99,750.0,750,1,37.03,17035
2912,16.99,750.0,750,1,12.87,5992
2917,19.99,750.0,750,1,15.62,17035
2920,69.99,750.0,750,1,46.15,9165
2924,21.99,750.0,750,1,17.18,8004
2926,27.99,1750.0,1750,1,21.87,12546
2932,31.99,750.0,750,1,24.61,17035
2939,14.99,750.0,750,1,11.53,4425
2942,39.99,750.0,750,1,27.12,11567
2944,44.99,750.0,750,1,32.14,17035
2945,299.99,750.0,750,1,213.17,2561
2946,89.99,750.0,750,1,62.01,2561
2949,94.99,750.0,750,1,70.36,9165
2951,39.99,1750.0,1750,1,28.78,7245
2952,18.99,750.0,750,1,14.61,7245
2954,49.99,750.0,750,1,35.87,2561
2956,14.99,1750.0,1750,1,10.71,3960
2957,35.99,750.0,750,1,25.89,8004
2958,54.99,750.0,750,1,40.73,3960
2960,104.99,750.0,750,1,69.34,2561
2963,59.99,750.0,750,1,44.44,7239
2965,46.99,750.0,750,1,34.64,8112
2967,59.99,750.0,750,1,40.73,3664
2973,29.99,750.0,750,1,19.85,8004
2975,14.99,750.0,750,1,11.32,9625
2976,17.99,750.0,750,1,11.59,2496
2979,49.99,750.0,750,1,35.43,12546
2982,69.99,750.0,750,1,52.23,2561
2985,25.99,750.0,750,1,15.1,3664
2988,24.99,750.0,750,1,18.51,12546
2989,259.99,750.0,750,1,192.59,2561
2990,19.99,750.0,750,1,15.99,11567
2991,49.99,750.0,750,1,36.49,2000
2993,7.49,0.0,Unknown,1,5.39,5895
3012,0.99,50.0,50,1,0.74,12546
3016,19.99,750.0,750,1,14.59,480
3020,10.99,750.0,750,1,7.99,12546
3025,11.99,375.0,375,1,9.29,3960
3033,11.99,375.0,375,1,8.95,3960
3038,9.99,1750.0,1750,1,7.13,9552
3039,16.99,750.0,750,1,13.38,8664
3041,9.99,1750.0,1750,1,5.83,9552
3042,11.99,375.0,375,1,8.63,3960
3045,12.99,750.0,750,1,7.8,12546
3046,47.99,1750.0,1750,1,35.81,3960
3050,8.99,1750.0,1750,1,6.51,8004
3054,12.99,750.0,750,1,8.14,3960
3058,0.99,50.0,50,1,0.71,7245
3061,16.99,750.0,750,1,11.32,17035
3062,21.99,750.0,750,1,15.62,10050
3070,29.99,750.0,750,1,16.53,3960
3072,24.99,750.0,750,1,18.24,3960
3079,15.99,750.0,750,1,10.21,2396
3081,12.99,750.0,750,1,7.14,3960
3084,14.99,200.0,200,1,11.27,9165
3086,47.99,1750.0,1750,1,35.03,3960
3089,9.99,750.0,750,1,7.63,3924
3092,16.99,750.0,750,1,13.38,8664
3100,47.99,1750.0,1750,1,34.28,3960
3102,17.99,1750.0,1750,1,12.94,3960
3104,12.99,750.0,750,1,8.72,3960
3107,65.99,750.0,750,1,47.47,3960
3120,17.99,750.0,750,1,10.94,17035
3121,9.99,750.0,750,1,6.93,12546
3123,14.99,1750.0,1750,1,10.94,3960
3125,9.99,750.0,750,1,7.03,12546
3133,10.99,750.0,750,1,8.79,1392
3138,13.99,750.0,750,1,9.29,1392
3139,23.99,750.0,750,1,17.64,480
3147,0.99,50.0,50,1,0.71,8664
3150,10.99,750.0,750,1,8.65,1392
3152,10.99,750.0,750,1,7.91,7245
3153,17.99,750.0,750,1,13.23,653
3154,9.99,750.0,750,1,7.8,3252
3158,16.99,1750.0,1750,1,12.77,12546
3159,9.99,750.0,750,1,5.59,9552
3161,9.99,750.0,750,1,6.66,3252
3163,12.99,750.0,750,1,8.82,7245
3168,25.99,750.0,750,1,18.97,8112
3172,12.99,750.0,750,1,10.31,11567
3174,29.99,750.0,750,1,21.73,4425
3176,27.99,750.0,750,1,20.89,4425
3180,16.99,1750.0,1750,1,10.94,3252
3183,18.49,750.0,750,1,13.7,7245
3189,12.99,750.0,750,1,10.15,11567
3193,16.99,750.0,750,1,11.15,17035
3194,23.99,750.0,750,1,18.31,480
3197,20.99,1750.0,1750,1,15.32,12546
3201,29.99,750.0,750,1,21.96,17035
3204,21.99,750.0,750,1,15.71,7153
3209,19.99,750.0,750,1,14.07,4550
3216,11.99,1750.0,1750,1,7.68,660
3218,12.99,750.0,750,1,10.23,8004
3219,0.99,50.0,50,1,0.74,1392
3220,18.99,1750.0,1750,1,14.72,1392
3221,10.99,750.0,750,1,7.93,12546
3227,8.99,1750.0,1750,1,6.86,8004
3230,10.99,750.0,750,1,7.08,1392
3231,10.99,750.0,750,1,7.74,12546
3233,22.99,750.0,750,1,16.66,8112
3234,62.99,1750.0,1750,1,45.92,3664
3235,16.99,750.0,750,1,12.4,17035
3237,25.99,1750.0,1750,1,18.17,8004
3238,29.99,750.0,750,1,22.83,3664
3239,9.99,750.0,750,1,7.8,9165
3243,10.49,1750.0,1750,1,8.26,3924
3244,5.79,750.0,750,1,4.32,3924
3246,8.79,1750.0,1750,1,6.71,8004
3253,12.49,1750.0,1750,1,9.08,12546
3257,5.99,750.0,750,1,4.5,12546
3271,5.99,375.0,375,1,4.47,3252
3272,17.99,1750.0,1750,1,13.23,9552
3276,14.99,1750.0,1750,1,9.62,3960
3278,7.99,750.0,750,1,5.79,3960
3279,29.99,750.0,750,1,22.21,6213
3285,9.99,750.0,750,1,7.29,1392
3286,47.99,1750.0,1750,1,36.08,3960
3292,169.99,750.0,750,1,135.99,9165
3294,16.99,750.0,750,1,12.31,4425
